Ref,Val,Package,PosX,PosY,Rot,Side
"K99","CPG151101S11-16","MX-Hotswap-1U",390.525000,-85.725000,0.000000,top
"K100","CPG151101S11-16","MX-Hotswap-1U",390.525000,-104.775000,0.000000,top
"K101","CPG151101S11-16","MX-Hotswap-1U",390.525000,-123.825000,0.000000,top
"K102","CPG151101S11-16","MX-Hotswap-1U",390.525000,-142.875000,0.000000,top
"K103","CPG151101S11-16","MX-Hotswap-1U",409.575000,-47.625000,0.000000,top
"K104","CPG151101S11-16","MX-Hotswap-1U",409.575000,-66.675000,0.000000,top
"K105","CPG151101S11-16","MX-Hotswap-1U",409.575000,-85.725000,0.000000,top
"K106","CPG151101S11-16","MX-Hotswap-1U",409.575000,-104.775000,0.000000,top
"K107","CPG151101S11-16","MX-Hotswap-1U",409.575000,-123.825000,0.000000,top
"K108","CPG151101S11-16","MX-Hotswap-1U",409.575000,-142.875000,0.000000,top
